CustomerID,Age,Gender,Country,full name,age group
62,39,"Female","Australia","David Williams","31-40"
63,77,"Female","Australia","Alice Smith","51+"
64,59,"Female","Australia","Bob Brown","51+"
65,72,"Female","Australia","Alice Jones","51+"
66,51,"Female","Australia","John Williams","51+"
67,78,"Female","Australia","Jane Williams","51+"
68,52,"Female","Australia","Jane Williams","51+"
69,79,"Female","Australia","Alice Johnson","51+"
70,22,"Female","Germany","Alice Williams","21-30"
71,74,"Male","United Kingdom","Carol Brown","51+"
72,32,"Male","United States","Alice Williams","31-40"
73,56,"Male","United Kingdom","Alice Smith","51+"
74,32,"Male","Germany","Bob Williams","31-40"
76,29,"Male","France","Jane Jones","21-30"
77,20,"Male","United States","Bob Smith","0-20"
78,27,"Male","United States","Bob Jones","21-30"
79,53,"Male","United Kingdom","Jane Johnson","51+"
80,24,"Male","United Kingdom","David Brown","21-30"
82,34,"Male","United States","Carol Johnson","31-40"
83,37,"Other","Germany","Bob Jones","31-40"
84,64,"Female","Germany","John Smith","51+"
85,66,"Female","Australia","Carol Smith","51+"
86,63,"Male","Germany","Jane Brown","51+"
87,70,"Male","France","Bob Smith","51+"
88,45,"Female","France","David Johnson","41-50"
89,29,"Other","Australia","Bob Brown","21-30"
90,35,"Female","Australia","Alice Williams","31-40"
91,74,"Male","United Kingdom","Bob Johnson","51+"
92,62,"Female","Germany","Bob Johnson","51+"
93,68,"Other","Australia","John Smith","51+"
94,54,"Other","Germany","John Smith","51+"
95,29,"Male","Germany","Bob Smith","21-30"
96,25,"Male","Germany","David Williams","21-30"
116,23,"Other","Germany","Bob Brown","21-30"
117,47,"Male","United States","Carol Johnson","41-50"
118,54,"Other","France","David Johnson","51+"
119,44,"Male","United Kingdom","John Johnson","41-50"
120,23,"Other","France","Jane Williams","21-30"
121,62,"Male","France","Bob Johnson","51+"
123,34,"Other","United States","David Johnson","31-40"
124,64,"Female","Germany","Jane Brown","51+"
125,47,"Other","Germany","Bob Brown","41-50"
126,32,"Female","United Kingdom","John Williams","31-40"
127,78,"Female","Australia","David Jones","51+"
128,36,"Male","Germany","Bob Williams","31-40"
129,47,"Female","United Kingdom","Carol Williams","41-50"
130,57,"Other","United States","John Smith","51+"
131,26,"Male","Australia","John Johnson","21-30"
132,76,"Other","United States","David Johnson","51+"
133,51,"Female","United Kingdom","John Brown","51+"
134,63,"Female","United States","Alice Jones","51+"
193,33,"Male","Germany","Alice Johnson","31-40"
195,43,"Female","France","David Williams","41-50"
196,42,"Other","United Kingdom","John Smith","41-50"
197,32,"Male","United Kingdom","John Johnson","31-40"
199,60,"Female","Australia","Bob Jones","51+"
200,54,"Female","United Kingdom","Jane Williams","51+"
